index,time,lat,lon,tempanomaly
363,2023-03-15,-85.00,-173.00,1.35
364,2023-03-15,-85.00,-171.00,1.35
365,2023-03-15,-85.00,-169.00,1.35
366,2023-03-15,-85.00,-167.00,1.35
367,2023-03-15,-85.00,-165.00,1.35
368,2023-03-15,-85.00,-163.00,1.35
369,2023-03-15,-85.00,-161.00,1.35
370,2023-03-15,-85.00,-159.00,1.35
371,2023-03-15,-85.00,-157.00,1.35
372,2023-03-15,-85.00,-155.00,1.35
373,2023-03-15,-85.00,-153.00,1.35
374,2023-03-15,-85.00,-151.00,1.35
375,2023-03-15,-85.00,-149.00,1.35
376,2023-03-15,-85.00,-147.00,1.35
377,2023-03-15,-85.00,-145.00,1.35
378,2023-03-15,-85.00,-143.00,1.35
379,2023-03-15,-85.00,-141.00,1.35
380,2023-03-15,-85.00,-139.00,1.35
381,2023-03-15,-85.00,-137.00,1.35
382,2023-03-15,-85.00,-135.00,1.35
383,2023-03-15,-85.00,-133.00,1.35
384,2023-03-15,-85.00,-131.00,1.35
385,2023-03-15,-85.00,-129.00,1.35
386,2023-03-15,-85.00,-127.00,1.35
387,2023-03-15,-85.00,-125.00,1.35
388,2023-03-15,-85.00,-123.00,1.35
389,2023-03-15,-85.00,-121.00,1.35
390,2023-03-15,-85.00,-119.00,1.35
391,2023-03-15,-85.00,-117.00,1.35
392,2023-03-15,-85.00,-115.00,1.35
393,2023-03-15,-85.00,-113.00,1.35
394,2023-03-15,-85.00,-111.00,1.35
395,2023-03-15,-85.00,-109.00,1.35
396,2023-03-15,-85.00,-107.00,1.35
397,2023-03-15,-85.00,-105.00,1.35
398,2023-03-15,-85.00,-103.00,1.35
399,2023-03-15,-85.00,-101.00,1.35
400,2023-03-15,-85.00,-99.00,1.35
401,2023-03-15,-85.00,-97.00,1.35
402,2023-03-15,-85.00,-95.00,1.35
403,2023-03-15,-85.00,-93.00,1.35
404,2023-03-15,-85.00,-91.00,1.35
405,2023-03-15,-85.00,-89.00,1.35
406,2023-03-15,-85.00,-87.00,1.35
407,2023-03-15,-85.00,-85.00,1.35
408,2023-03-15,-85.00,-83.00,1.35
409,2023-03-15,-85.00,-81.00,1.35
410,2023-03-15,-85.00,-79.00,1.35
411,2023-03-15,-85.00,-77.00,1.35
412,2023-03-15,-85.00,-75.00,1.35
413,2023-03-15,-85.00,-73.00,1.35
