year,area,period,anomaly
1997,NH,Feb,0.59
1998,NH,Feb,1.03
1999,NH,Feb,1.0
2000,NH,Feb,0.89
2001,NH,Feb,0.45
2002,NH,Feb,1.14
2003,NH,Feb,0.57
2004,NH,Feb,0.92
2005,NH,Feb,0.72
2006,NH,Feb,0.95
2007,NH,Feb,0.89
2008,NH,Feb,0.59
2009,NH,Feb,0.7
2010,NH,Feb,0.94
2011,NH,Feb,0.56
2012,NH,Feb,0.59
2013,NH,Feb,0.79
2014,NH,Feb,0.72
2015,NH,Feb,1.19
2016,NH,Feb,1.94
2017,NH,Feb,1.52
2018,NH,Feb,1.24
2019,NH,Feb,1.12
2020,NH,Feb,1.71
2021,NH,Feb,0.96
2022,NH,Feb,1.17
2023,NH,Feb,1.32
1880,SH,Feb,0.04
1881,SH,Feb,-0.05
1882,SH,Feb,0.08
1883,SH,Feb,-0.08
1884,SH,Feb,-0.05
1885,SH,Feb,-0.22
1886,SH,Feb,-0.19
1887,SH,Feb,-0.43
1888,SH,Feb,-0.12
1889,SH,Feb,0.04
1890,SH,Feb,-0.32
1891,SH,Feb,-0.25
1892,SH,Feb,-0.05
1893,SH,Feb,-0.17
1894,SH,Feb,-0.15
1895,SH,Feb,-0.05
1896,SH,Feb,-0.06
1897,SH,Feb,0.08
1898,SH,Feb,-0.15
1899,SH,Feb,-0.12
1900,SH,Feb,0.03
1901,SH,Feb,-0.12
1902,SH,Feb,-0.14
1903,SH,Feb,-0.22
1904,SH,Feb,-0.56
1905,SH,Feb,-0.35
1906,SH,Feb,-0.04
1907,SH,Feb,-0.29
1908,SH,Feb,-0.37
1909,SH,Feb,-0.46
1910,SH,Feb,-0.45
1911,SH,Feb,-0.55
1912,SH,Feb,-0.11
1913,SH,Feb,-0.24
1914,SH,Feb,-0.08
1915,SH,Feb,0.03
1916,SH,Feb,-0.12
1917,SH,Feb,-0.58
1918,SH,Feb,-0.23
1919,SH,Feb,-0.05
1920,SH,Feb,-0.22
1921,SH,Feb,-0.27
1922,SH,Feb,-0.25
1923,SH,Feb,-0.31
1924,SH,Feb,-0.24
1925,SH,Feb,-0.42
1926,SH,Feb,-0.11
1927,SH,Feb,-0.27
1928,SH,Feb,-0.26
1929,SH,Feb,-0.36
1930,SH,Feb,-0.33
1931,SH,Feb,-0.15
1932,SH,Feb,-0.14
1933,SH,Feb,-0.27
1934,SH,Feb,-0.39
1935,SH,Feb,-0.29
1936,SH,Feb,-0.23
1937,SH,Feb,-0.17
1938,SH,Feb,-0.21
1939,SH,Feb,-0.13
1940,SH,Feb,0.04
1941,SH,Feb,0.17
1942,SH,Feb,0.14
1943,SH,Feb,-0.04
1944,SH,Feb,0.05
1945,SH,Feb,0.08
1946,SH,Feb,-0.02
1947,SH,Feb,-0.11
1948,SH,Feb,-0.14
1949,SH,Feb,-0.19
1950,SH,Feb,-0.27
1951,SH,Feb,-0.32
1952,SH,Feb,0.06
1953,SH,Feb,-0.07
1954,SH,Feb,-0.19
1955,SH,Feb,-0.19
1956,SH,Feb,-0.17
1957,SH,Feb,-0.01
